Timestamp,depth,depth_on_road,latitude,longitude,on_road_latitude,on_road_longitude,x,y,w,h
1641503803_769697344,23.8939209,23.05668068,41.68210158,-72.69100593,41.68211,-72.69091618,233.0302734,152.9405212,38.86594391,93.46931458
1641503803_769697344,23.34709167,22.51898766,41.68210652,-72.6910057,41.68211478,-72.69091713,233.3837585,161.0465698,39.30416107,95.37844849
1641503803_836136344,23.9995575,23.09232903,41.68209267,-72.69101106,41.6821014,-72.69091447,235.2685852,152.6763,34.19868088,94.16674805
1641503803_836136344,23.55929565,22.64776039,41.6820967,-72.69101152,41.68210535,-72.69091526,235.9720154,161.4183655,36.19143677,95.30225372
1641503805_469935344,15.03378296,11.45791912,41.68200224,-72.69077819,41.68199086,-72.69089817,22.91745758,163.9864349,41.45890808,131.078949
1641503805_469935344,17.74684143,13.47711563,41.68198609,-72.69075369,41.68197282,-72.69089538,22.00417137,157.9701843,38.35612106,118.8046722
1641503805_536432344,17.72312927,13.43398094,41.68198049,-72.69074486,41.6819644,-72.69089408,21.53258514,166.0183411,44.14051056,117.417511
1641503806_036333344,45.17176056,44.7888298,41.68161156,-72.69092461,41.68161813,-72.69084052,203.7340851,179.6135559,14.87966442,44.61652756
1641503806_236271344,40.23767853,39.82548141,41.68162942,-72.69093237,41.68163601,-72.69084328,206.5417633,178.8238678,17.36084557,53.29068756
1641503806_369997344,40.98615265,40.54711533,41.68160442,-72.69085998,41.68161442,-72.69079108,207.2438965,172.991745,16.77610207,51.92455673
1641503806_469871344,38.24899292,37.79971313,41.68161527,-72.69086384,41.68162526,-72.69079387,208.7439575,173.7168884,23.47326279,56.02360153
1641503806_469871344,40.66159821,40.20973587,41.68159364,-72.6908607,41.68160398,-72.69078839,207.8335266,172.2659607,19.11811066,51.96703339
1641503806_769632344,32.91947174,32.47205353,41.68162205,-72.69086949,41.68163203,-72.69079561,211.2653198,168.1228943,29.1901722,67.56128693
